ProductID,StyleCode,ProductName,DepartmentName,CategoryName,SupplierID,SeasonCode,ListPrice,UnitCost,LaunchDate,IsRfidTagged
P0027,YK-APP-0027,Alpine Base Layer,Apparel,Base Layers,SUP05,FW25,82.95,42.30,2023-12-09,true
P0028,YK-APP-0028,Chinook Base Layer,Apparel,Base Layers,SUP01,FW25,93.95,43.73,2024-03-02,true
P0029,YK-APP-0029,Aspen Hiking Trouser,Apparel,Hiking Trousers,SUP04,SS25,135.95,68.37,2024-11-05,true
P0030,YK-APP-0030,Basin Hiking Trouser,Apparel,Hiking Trousers,SUP07,SS26,133.95,54.14,2024-10-06,true
P0031,YK-APP-0031,Sawtooth Hiking Trouser,Apparel,Hiking Trousers,SUP03,AllSeason,75.95,36.58,2024-06-12,true
P0032,YK-APP-0032,Wolverine Technical Tee,Apparel,Technical Tees,SUP06,SS26,39.95,19.58,2024-10-06,true
P0033,YK-APP-0033,Cirque Technical Tee,Apparel,Technical Tees,SUP02,FW25,48.95,19.62,2024-06-07,true
P0034,YK-APP-0034,Kestrel Technical Tee,Apparel,Technical Tees,SUP05,SS25,61.95,30.69,2024-07-30,true
P0035,YK-EQU-0035,Juniper Backpack,Equipment,Backpacks,SUP01,SS25,192.95,82.32,2024-01-24,false
P0036,YK-EQU-0036,Cascade Ridge Backpack,Equipment,Backpacks,SUP04,SS25,177.95,71.07,2024-11-24,false
P0037,YK-EQU-0037,Ridgeline Backpack,Equipment,Backpacks,SUP07,SS25,228.95,116.94,2023-07-21,false
P0038,YK-EQU-0038,Talus Tent,Equipment,Tents,SUP03,FW25,476.95,247.30,2024-03-16,false
P0039,YK-EQU-0039,Timberline Tent,Equipment,Tents,SUP06,AllSeason,220.95,88.32,2024-07-14,false
P0040,YK-EQU-0040,Granite Tent,Equipment,Tents,SUP02,SS26,339.95,175.80,2024-06-03,false
P0041,YK-EQU-0041,Larkspur Sleeping Bag,Equipment,Sleeping Bags,SUP05,SS26,211.95,104.23,2023-08-18,false
P0042,YK-EQU-0042,Summit Sleeping Bag,Equipment,Sleeping Bags,SUP01,FW25,358.95,142.14,2023-08-09,false
P0043,YK-EQU-0043,Selkirk Sleeping Bag,Equipment,Sleeping Bags,SUP04,FW25,138.95,69.41,2024-02-24,false
P0044,YK-EQU-0044,Glacier Trekking Poles,Equipment,Trekking Poles,SUP07,AllSeason,115.95,59.10,2023-10-31,false
P0045,YK-EQU-0045,Alpine Trekking Poles,Equipment,Trekking Poles,SUP03,AllSeason,93.95,37.23,2024-11-17,false
P0046,YK-EQU-0046,Chinook Trekking Poles,Equipment,Trekking Poles,SUP06,AllSeason,121.95,48.96,2023-10-05,false
P0047,YK-EQU-0047,Aspen Headlamp,Equipment,Headlamps,SUP02,SS25,89.95,39.76,2024-04-05,false
P0048,YK-EQU-0048,Basin Headlamp,Equipment,Headlamps,SUP05,FW25,83.95,40.99,2024-01-01,false
P0049,YK-EQU-0049,Sawtooth Headlamp,Equipment,Headlamps,SUP01,FW25,51.95,24.49,2023-12-10,false
P0050,YK-EQU-0050,Wolverine Camp Stove,Equipment,Camp Stoves,SUP04,FW25,215.95,106.64,2024-11-24,false
P0051,YK-EQU-0051,Cirque Camp Stove,Equipment,Camp Stoves,SUP07,AllSeason,73.95,32.91,2023-11-15,false
P0052,YK-EQU-0052,Kestrel Camp Stove,Equipment,Camp Stoves,SUP03,AllSeason,131.95,50.46,2023-07-28,false
